Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP
RBDSQ - Nocturnal Behaviour,,REM Sleep Behavior Disorder Screening Questionnaire - Nocturnal Behaviour,,DRMNOCTB,DRMNOCTB,rem_q3,DRMNOCTB,,,
RBDSQ - Move Arms/Legs,,REM Sleep Behavior Disorder Screening Questionnaire - Move Arms/Legs,,SLPLMBMV,SLPLMBMV,rem_q4,SLPLMBMV,,,
RBDSQ - Hurt Bed Partner,,REM Sleep Behavior Disorder Screening Questionnaire - Hurt Bed Partner,,SLPINJUR,SLPINJUR,rem_q5,SLPINJUR,,,
RBDSQ - Speaking In Sleep,,REM Sleep Behavior Disorder Screening Questionnaire - Speaking In Sleep,,DRMVERBL,DRMVERBL,rem_q6,DRMVERBL,,,
RBDSQ - Sudden Limb Movements,,REM Sleep Behavior Disorder Screening Questionnaire - Sudden Limb Movements,,DRMFIGHT,DRMFIGHT,rem_q7,DRMFIGHT,,,
RBDSQ - Complex Movements,,REM Sleep Behavior Disorder Screening Questionnaire - Complex Movements,,DRMUMV,DRMUMV,rem_q8,DRMUMV,,,
RBDSQ - Things Fell Down,,REM Sleep Behavior Disorder Screening Questionnaire - Things Fell Down,,DRMOBJFL,DRMOBJFL,rem_q9,DRMOBJFL,,,
RBDSQ - My Movements Awake Me,,REM Sleep Behavior Disorder Screening Questionnaire - My Movements Awake Me,,MVAWAKEN,MVAWAKEN,rem_q10,MVAWAKEN,,,
RBDSQ - Remember Dreams,,REM Sleep Behavior Disorder Screening Questionnaire - Remember Dreams,,DRMREMEM,DRMREMEM,rem_q11,DRMREMEM,,,
RBDSQ - Sleep Is Disturbed,,REM Sleep Behavior Disorder Screening Questionnaire - Sleep Is Disturbed,,SLPDSTRB,SLPDSTRB,rem_q12,SLPDSTRB,,,
RBDSQ - Stroke,,REM Sleep Behavior Disorder Screening Questionnaire - Stroke,,STROKE,STROKE,rem_q13,STROKE,,,
RBDSQ - Head Trauma,,REM Sleep Behavior Disorder Screening Questionnaire - Head Trauma,,HETRA,HETRA,rem_q13,HETRA,,,
RBDSQ - Parkinsonism,,REM Sleep Behavior Disorder Screening Questionnaire - Parkinsonism,,PARKISM,PARKISM,rem_q13,PARKISM,,,
RBDSQ - RLS,,REM Sleep Behavior Disorder Screening Questionnaire - Restless Legs Syndrome,,RLS,RLS,rem_q13,RLS,restless_legs,,
RBDSQ - Narcolepsy,,REM Sleep Behavior Disorder Screening Questionnaire - Narcolepsy,,NARCLPSY,NARCLPSY,rem_q13,NARCLPSY,,,
RBDSQ - Depression,,REM Sleep Behavior Disorder Screening Questionnaire - Depression,,DEPRS,DEPRS,rem_q13,DEPRS,,,
RBDSQ - Epilepsy,,REM Sleep Behavior Disorder Screening Questionnaire - Epilepsy,,EPILEPSY,EPILEPSY,rem_q13,EPILEPSY,,,
RBDSQ - Inflammatory Disease of the Brain,,REM Sleep Behavior Disorder Screening Questionnaire - Inflammatory Disease of the Brain,,BRNINFM,BRNINFM,rem_q13,BRNINFM,,,
REM Sleep Behavior Disorder Screening Questionnaire,NCIT:C187517,REM Sleep Behavior Disorder Screening Questionnaire - Total Score,"REM Sleep Behavior Disorder Screening Questionnaire, RBD1, RBDSQ",No total score.,No total score.,rem_score,No total score.,RBD_total,,
SCOPA-AUT - Difficulty Swallowing,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had difficulty swallowing or have you choked?",,SCAU1,,scopa_q1,SCAU1,,,
SCOPA-AUT - Saliva Dribbled,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, has saliva dribbled out of your mouth?",,SCAU2,,scopa_q2,SCAU2,,,
SCOPA-AUT - Food Stuck in Throat,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, has food ever become stuck in your throat?",,SCAU3,,scopa_q3,SCAU3,,,
SCOPA-AUT - Feeling Full Quickly During Meal,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, did you ever have the feeling during a meal that you were full very quickly?",,SCAU4,,scopa_q4,SCAU4,,,
SCOPA-AUT - Constipation,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had problems with constipation?",,SCAU5,,scopa_q5,SCAU5,,,
SCOPA-AUT - Strain Hard to Pass Stools,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, did you have to strain hard to pass stools?",,SCAU6,,scopa_q6,SCAU6,,,
SCOPA-AUT - Involuntary Loss of Stool,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had involuntary loss of stools?",,SCAU7,,scopa_q7,SCAU7,,,
SCOPA-AUT - Subscore Gastrointestinal,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Gastrointestinal,,No total score.,No total score.,scopa_subscore_gastro,No total score.,scopa_aut_gastro,,
SCOPA-AUT - Use of Catheter,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Do you use a catheter?,,,,scopa_catheter,,,,
SCOPA-AUT - Difficulty Retaining Urine,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had difficulty retaining urine?",,SCAU8,,scopa_q8,SCAU8,,,
SCOPA-AUT - Involuntary Loss of Urine,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had involuntary loss of urine?",,SCAU9,,scopa_q9,SCAU9,,,
SCOPA-AUT - Bladder Not Empty,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had the feeling that after passing urine your bladder was not completely empty?",,SCAU10,,scopa_q10,SCAU10,,,
SCOPA-AUT - Weak Stream of Urine,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, has the stream of urine been weak?",,SCAU11,,scopa_q11,SCAU11,,,
SCOPA-AUT - Need to Pass Urine Again in 2 Hours,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had to pass urine again within 2 hours of the previous time?",,SCAU12,,scopa_q12,SCAU12,,,
SCOPA-AUT - Need to Pass Urine at Night,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had to pass urine at night?",,SCAU13,,scopa_q13,SCAU13,,,
SCOPA-AUT - Subscore Urinary,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Urinary,,No total score.,No total score.,scopa_subscore_urinary,No total score.,scopa_aut_urinary,,
SCOPA-AUT - Feel of Light Headedness While Standing Up,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, when standing up have you had the feeling of becoming either light-headed, or no longer being able to see properly or no longer being able to think clearly?",,SCAU14,,scopa_q14,SCAU14,,,
SCOPA-AUT - Light Headedness After Standing Up,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, did you become light-headed after standing for some time?",,SCAU15,,scopa_q15,SCAU15,,,
SCOPA-AUT - Fainted in 6 Months,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Have you fainted in the past 6 months?,,SCAU16,,scopa_q16,SCAU16,,,
SCOPA-AUT - Subscore Cardiovascular,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Cardiovascular,,No total score.,No total score.,scopa_subscore_cardiovasc,No total score.,scopa_aut_cardio,,
SCOPA-AUT - Perspired Excessively During Day,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you ever perspired excessively during the day?",,SCAU17,,scopa_q17,SCAU17,,,
SCOPA-AUT - Perspired Excessively During Night,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you ever perspired excessively during the night?",,SCAU18,,scopa_q18,SCAU18,,,
SCOPA-AUT - Eyes Oversensitive to Bright Light,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have your eyes ever been oversensitive to bright light?",,SCAU19,,scopa_q19,SCAU19,,,
SCOPA-AUT - Trouble Tolerating Cold,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, how often have you had trouble tolerating cold?",,SCAU20,,scopa_q20,SCAU20,,,
SCOPA-AUT - Trouble Tolerating Heat,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, how often have you had trouble tolerating the heat?",,SCAU21,,scopa_q21,SCAU21,,,
SCOPA-AUT - Subscore Thermoregulatory Dysfunction,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Thermoregulatory Dysfunction,,No total score.,No total score.,scopa_subscore_thermo,No total score.,scopa_aut_thermo,,
SCOPA-AUT - Subscore Pupillomotor Dysfunction,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Pupillomotor Dysfunction,,No total score.,No total score.,scopa_subscore_pupillo,No total score.,scopa_aut_puppillo,,
SCOPA-AUT - Unable to Have or Maintain an Erection,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you been impotent (unable to have or maintain an erection)?",,SCAU22,,scopa_q22,SCAU22,,,
SCOPA-AUT - Unable to Ejaculate,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, how often have you been unable to ejaculate?",,SCAU23,,scopa_q23,SCAU23,,,
SCOPA-AUT - Use of Medication for Erection Disorder,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you taken medication for an erection disorder?",,SCAU23A,,scopa_q23a,SCAU23A,,,
SCOPA-AUT - Which Medication Was Used for Erection Disorder,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, which medication you have taken for an erection disorder?",,SCAU23AT,,scopa_q23a2,SCAU23AT,,,
SCOPA-AUT - Subscore Sexual Dysfunction Men,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Sexual Dysfunction Men,,No total score.,No total score.,scopa_subscore_sexmen,No total score.,scopa_aut_sexual_male,,
SCOPA-AUT - Dry Vagina During Sex,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, was your vagina too dry during sexual activity?",,SCAU24,,scopa_q24,SCAU24,,,
SCOPA-AUT - Difficulty Reaching Organism,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you had difficulty reaching an orgasm?",,SCAU25,,scopa_q25,SCAU25,,,
SCOPA-AUT - Subscore Sexual Dysfunction Women,,Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - Subscore Sexual Dysfunction Women,,No total score.,No total score.,scopa_subscore_sexwomen,No total score.,scopa_aut_sexual_female,,
SCOPA-AUT - Use of Medication for Constipation,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you used medication for constipation?",,SCAU26A,,scopa_q26a,SCAU26A,,,
SCOPA-AUT - Which Medication Was Used for Constipation,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, which medication you have taken for constipation?",,SCAU26AT,,scopa_q26a2,SCAU26AT,,,
SCOPA-AUT - Use of Medication for Urinary Problems,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you used medication for urinary problems?",,SCAU26B,,scopa_q26b,SCAU26B,,,
SCOPA-AUT - Which Medication Was Used for Urinary Problems,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, which medication you have taken for urinary problems?",,SCAU26BT,,scopa_q26b2,SCAU26BT,,,
SCOPA-AUT - Use of Medication for Blood Pressure,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you used medication for blood pressure?",,SCAU26C,,scopa_q26c,SCAU26C,,,
SCOPA-AUT - Which Medication Was Used for Blood Pressure,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, which medication you have taken for blood pressure?",,SCAU26CT,,scopa_q26c2,SCAU26CT,,,
SCOPA-AUT - Use of Medication for Other Symptoms,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, have you used medication for other symptoms?",,SCAU26D,,scopa_q26d,SCAU26D,,,
SCOPA-AUT - Which Medication Was Used for Other Symptoms,,"Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire - In the past month, which medication you have taken for other symptoms?",,SCAU26DT,,scopa_q26d2,SCAU26DT,,,
Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire,NCIT:C187513,A specific 23-item self-completed questionnaire for the assessment of autonomic dysfunction in patients with PD.,"SP1, SCOPA-AUT, Scales for Outcomes in Parkinson's Disease - Autonomic Dysfunction Questionnaire",No total score.,No total score.,scopa_score,No total score.,No total score.,,
Symbol Digit Modalities Functional Test,NCIT:C115793,"A standardized rating scale developed by Aaron Smith in 1982, which is used to identify individuals with neurological impairment, as well as to assess divided attention, visual scanning and motor speed. This functional test measures the time to pair abstract symbols with specific numbers with a 90 second time limit. Scoring of this test is based on the total number of correctly coded items from 0-110 in 90 seconds.","SDMT, Symbol Digit Modalities Functional Test, SDMT01",SDMTOTAL,,,No total score.,,,37397676.0
UPSIT - Book 1 Score,,The University of Pennsylvania Smell Identification Test (UPSIT) - Book 1 score,,,,,upsitbk1,,,
UPSIT - Book 2 Score,,The University of Pennsylvania Smell Identification Test (UPSIT) - Book 2 score,,,,,upsitbk2,,,
UPSIT - Book 3 Score,,The University of Pennsylvania Smell Identification Test (UPSIT) - Book 3 score,,,,,upsitbk3,,,
UPSIT - Book 4 Score,,The University of Pennsylvania Smell Identification Test (UPSIT) - Book 4 score,,,,,upsitbk4,,,
The University of Pennsylvania Smell Identification Test,,"The University of Pennsylvania Smell Identification Test (UPSIT) provides an absolute indication of smell loss (anosmia; mild, moderate, or severe microsomia) as well as an index to detect malingering.",,TOTAL_CORRECT,,,No total score.,upsit_total,,
LBCRS - Question 1,,Lewy Body Composite Risk Score - Have slowness in initiating and maintaining movement or have frequent hesitations or pauses during movement?,,,,lbcrs_q1,,,,
LBCRS - Question 2,,Lewy Body Composite Risk Score - Have rigidity (with or without cogwheeling) on passive range of motion in any of the 4 extremities?,,,,lbcrs_q2,,,,
LBCRS - Question 3,,Lewy Body Composite Risk Score - Have a loss of postural stability (balance) with or without frequent falls?,,,,lbcrs_q3,,,,
LBCRS - Question 4,,Lewy Body Composite Risk Score - Have a tremor at rest in any of the 4 extremities or head?,,,,lbcrs_q4,,,,
LBCRS - Question 5,,Lewy Body Composite Risk Score - Have excessive daytime sleepiness and/or seem drowsy and lethargic when awake?,,,,lbcrs_q5,,,,
LBCRS - Question 6,,"Lewy Body Composite Risk Score - Have episodes of illogical thinking or incoherent, random thoughts?",,,,lbcrs_q6,,,,
LBCRS - Question 7,,Lewy Body Composite Risk Score - Have frequent staring spells or periods of blank looks?,,,,lbcrs_q7,,,,
LBCRS - Question 8,,Lewy Body Composite Risk Score - Have visual hallucinations (see things not really there)?,,,,lbcrs_q8,,,,
LBCRS - Question 9,,"Lewy Body Composite Risk Score - Appear to act out his/her dreams (kick, punch, thrash, shout or scream)?",,,,lbcrs_q9,,,,
LBCRS - Question 10,,Lewy Body Composite Risk Score - Have orthostatic hypotension or other signs of autonomic insufficiency?,,,,lbcrs_q10,,,,
Lewy Body Composite Risk Score,,A 10-item questionnaire to capture signs and symptoms associated with Lewy body pathology. A score of 3 or greater represents a high probability that Lewy bodies are contributing to cognitive decline.,,,,lbcrs_score,,,,
Parkinson's Disease Questionnaire-8,,The 8-item version of the Parkinson's Disease Questionnaire (PDQ-8) is a shortened version of the 39-item Parkinson’s Disease Questionnaire (PDQ-39). It was developed to reduce the respondent burden and increase convenience for use among persons with Parkinson's Disease in clinical settings.,,,,,,PDQ8_total,,
PDQ39 - Difficulty Doing Leisure Activities,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty doing the leisure activities which you would like to do?,,,,pdq39_q1,,,,
PDQ39 - Difficulty Looking After Home,,"Parkinson’s Disease Quality of Life Questionnaire - Had difficulty looking after your home, e.g. DIY, housework, cooking?",,,,pdq39_q2,,,,
PDQ39 - Difficulty Carrying Bags,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty carrying bags of shopping?,,,,pdq39_q3,,,,
PDQ39 - Problems Walking Half a Mile,,Parkinson’s Disease Quality of Life Questionnaire - Had problems walking half a mile?,,,,pdq39_q4,,,,
PDQ39 - Problems Walking Hundred Yards,,Parkinson’s Disease Quality of Life Questionnaire - Had problems walking 100 yards?,,,,pdq39_q5,,,,
PDQ39 - Problems Getting Around the House,,Parkinson’s Disease Quality of Life Questionnaire - Had problems getting around the house as easily as you would like?,,,,pdq39_q6,,,,
PDQ39 - Difficulty Getting Around Public,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty getting around in public?,,,,pdq39_q7,,,,
PDQ39 - Needed Someone to Accompany,,Parkinson’s Disease Quality of Life Questionnaire - Needed someone else to accompany you when you went out?,,,,pdq39_q8,,,,
PDQ39 - Worried About Falling,,Parkinson’s Disease Quality of Life Questionnaire - Felt frightened or worried about falling over in public?,,,,pdq39_q9,,,,
PDQ39 - Confined to the House,,Parkinson’s Disease Quality of Life Questionnaire - Been confined to the house more than you would like?,,,,pdq39_q10,,,,
PDQ39 - Mobility Score,,Parkinson’s Disease Quality of Life Questionnaire - Mobility score,,,,pdq39_q1_q10_subscore2,,,,
PDQ39 - Difficulty washing,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty washing yourself?,,,,pdq39_q11,,,,
PDQ39 - Difficulty dressing,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty dressing yourself?,,,,pdq39_q12,,,,
PDQ39 - Problems Doing Up Buttons,,Parkinson’s Disease Quality of Life Questionnaire - Had problems doing up buttons or shoe laces?,,,,pdq39_q13,,,,
PDQ39 - Problems Writing,,Parkinson’s Disease Quality of Life Questionnaire - Had problems writing clearly?,,,,pdq39_q14,,,,
PDQ39 - Difficulty Cutting Food,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty cutting up your food?,,,,pdq39_q15,,,,
PDQ39 - Difficulty Holding a Drink,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty holding a drink without spilling it?,,,,pdq39_q16,,,,
PDQ39 - ADL Score,,Parkinson’s Disease Quality of Life Questionnaire - Activities of daily living score,,,,pdq39_q11_q16_subscore2,,,,
PDQ39 - Felt Depressed,,Parkinson’s Disease Quality of Life Questionnaire - Felt depressed?,,,,pdq39_q17,,,,
PDQ39 - Felt Isolated,,Parkinson’s Disease Quality of Life Questionnaire - Felt isolated and lonely?,,,,pdq39_q18,,,,
PDQ39 - Felt Weepy,,Parkinson’s Disease Quality of Life Questionnaire - Felt weepy or tearful?,,,,pdq39_q19,,,,
PDQ39 - Felt Angry,,Parkinson’s Disease Quality of Life Questionnaire - Felt angry or bitter?,,,,pdq39_q20,,,,
PDQ39 - Felt Anxious,,Parkinson’s Disease Quality of Life Questionnaire - Felt anxious?,,,,pdq39_q21,,,,
PDQ39 - Felt Worried About Future,,Parkinson’s Disease Quality of Life Questionnaire - Felt worried about your future?,,,,pdq39_q22,,,,
PDQ39 - Emotional Well Being Score,,Parkinson’s Disease Quality of Life Questionnaire - Emotional well being score,,,,pdq39_q17_q22_subscore2,,,,
PDQ39 - Felt to Conceal Parkinson's From People,,Parkinson’s Disease Quality of Life Questionnaire - Felt you had to conceal your Parkinson’s from people?,,,,pdq39_q23,,,,
PDQ39 - Avoided Eating in Public,,Parkinson’s Disease Quality of Life Questionnaire - Avoided situations which involve eating or drinking in public?,,,,pdq39_q24,,,,
PDQ39 - Felt Embarrased in Person,,Parkinson’s Disease Quality of Life Questionnaire - Felt embarrassed in public due to having Parkinson’s disease?,,,,pdq39_q25,,,,
PDQ39 - Felt Worried by Other People's Reaction,,Parkinson’s Disease Quality of Life Questionnaire - Felt worried by other people’s reaction to you?,,,,pdq39_q26,,,,
PDQ39 - Stigma Score,,Parkinson’s Disease Quality of Life Questionnaire - Felt worried by other people’s reaction to you?,,,,pdq39_q23_q26_score2,,,,
PDQ39 - Problems with Close Relationships,,Parkinson’s Disease Quality of Life Questionnaire - Had problems with your close personal relationships?,,,,pdq39_q27,,,,
PDQ39 - Lacked Support From Spouse,,Parkinson’s Disease Quality of Life Questionnaire - Lacked support in the ways you need from your spouse or partner?,,,,pdq39_q28,,,,
PDQ39 - Lacked Support From Family,,Parkinson’s Disease Quality of Life Questionnaire - Lacked support in the ways you need from your family or close friends?,,,,pdq39_q29,,,,
PDQ39 - Social Support Score,,Parkinson’s Disease Quality of Life Questionnaire - Social support score,,,,pdq39_q27_q29_score2,,,,
PDQ39 - Fallen Asleep During Day,,Parkinson’s Disease Quality of Life Questionnaire - Unexpectedly fallen asleep during the day?,,,,pdq39_q30,,,,
PDQ39 - Problems with Concentration,,"Parkinson’s Disease Quality of Life Questionnaire - Had problems with your concentration, e.g. when reading or watching TV?",,,,pdq39_q31,,,,
PDQ39 - Felt Bad Memory,,Parkinson’s Disease Quality of Life Questionnaire - Felt your memory was bad?,,,,pdq39_q32,,,,
PDQ39 - Distressing Dreams,,Parkinson’s Disease Quality of Life Questionnaire - Had distressing dreams or hallucinations?,,,,pdq39_q33,,,,
PDQ39 - Cognitive Impairment Score,,Parkinson’s Disease Quality of Life Questionnaire - Cognitive impairment score,,,,pdq39_q30_q33_score2,,,,
PDQ39 - Difficulty with Speech,,Parkinson’s Disease Quality of Life Questionnaire - Had difficulty with your speech?,,,,pdq39_q34,,,,
PDQ39 - Felt Unable to Communicate,,Parkinson’s Disease Quality of Life Questionnaire - Felt unable to communicate with people properly?,,,,pdq39_q35,,,,
PDQ39 - Felt Ignored,,Parkinson’s Disease Quality of Life Questionnaire - Felt ignored by people?,,,,pdq39_q36,,,,
PDQ39 - Communication Score,,Parkinson’s Disease Quality of Life Questionnaire - Communication score,,,,pdq39_q34_q36_score2,,,,
PDQ39 - Painful Muscle Cramps,,Parkinson’s Disease Quality of Life Questionnaire - Had painful muscle cramps or spasms?,,,,pdq39_q37,,,,
PDQ39 - Aches in Joint,,Parkinson’s Disease Quality of Life Questionnaire - Had aches and pains in your joints or body?,,,,pdq39_q38,,,,
PDQ39 - Felt Hot or Cold,,Parkinson’s Disease Quality of Life Questionnaire - Felt unpleasently hot or cold?,,,,pdq39_q39,,,,
PDQ39 - Bodily Discomfort Score,,Parkinson’s Disease Quality of Life Questionnaire - Bodily discomfort score,,,,pdq39_q36_q39_score2,,,,
Parkinson's Disease Questionnaire-39,NCIT:C187514,"The Parkinson's Disease Questionnaire (PDQ-39) assesses how often people with Parkinson's experience difficulties across 8 dimensions of daily living including relationships, social situations and communication.","PDQ-39, Parkinson's Disease Questionnaire-39, PD01",,,pdq39_score2,,,,
SAS - Interested in Learning New Things ,,Starkstein Apathy Scale - Are you interested in learning new things?,,,,spark_q1,,,,
SAS - Does Anything Interest You,,Starkstein Apathy Scale - Does anything interest you?,,,,spark_q2,,,,
SAS - Concerned About Condition,,Starkstein Apathy Scale - Are you concerned about your condition?,,,,spark_q3,,,,
SAS - Put Much Effort,,Starkstein Apathy Scale - Do you put much effort into things?,,,,spark_q4,,,,
SAS - Looking For Something to Do,,Starkstein Apathy Scale - Are you always looking for something to do?,,,,spark_q5,,,,
SAS - Have Plans for Future,,Starkstein Apathy Scale - Do you have plans and goals for the future?,,,,spark_q6,,,,
SAS - Have Motivation,,Starkstein Apathy Scale - Do you have motivation?,,,,spark_q7,,,,
SAS - Have Energy for Daily Activities,,Starkstein Apathy Scale - Do you have energy for daily activities?,,,,spark_q8,,,,
SAS - Need Someone to Tell What to Do,,Starkstein Apathy Scale - Does someone have to tell you what to do each day?,,,,spark_q9,,,,
SAS - Indifferent to Things,,Starkstein Apathy Scale - Are you indifferent to things?,,,,spark_q10,,,,
SAS - Unconcerned with Things,,Starkstein Apathy Scale - Are you unconcerned with many things?,,,,spark_q11,,,,
SAS - Need Push to Start,,Starkstein Apathy Scale - Do you need a push to get started on things?,,,,spark_q12,,,,
SAS - Not Happy Nor Sad,,"Starkstein Apathy Scale - Are you neither happy nor sad, just in between?",,,,spark_q13,,,,
SAS - Consider Yourself Apathic,,Starkstein Apathy Scale - Would you consider yourself apathic?,,,,spark_q14,,,,
Starkstein Apathy Scale,,Starkstein Apathy Scale - Total score,,,,spark_score,,,,
NMSS - Cardio Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 1 (Cardiovascular including falls).,,,,,,NMSS_cardio,,
NMSS - Sleep/Fatigue Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 2 (Sleep/fatigue).,,,,,,NMSS_sleep,,
NMSS - Mood/Cognition Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 3 (Mood/cognition).,,,,,,NMSS_mood,,
NMSS - Hallucination Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 4 (Perceptual problems/hallucination).,,,,,,NMSS_perception,,
NMSS - Attention Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 5 (Attention/memory).,,,,,,NMSS_attention,,
NMSS - GI Tract Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 6 (Gastrointestinal tract).,,,,,,NMSS_gastro,,
NMSS - Urinary Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 7 (Urinary).,,,,,,NMSS_urinary,,
NMSS - Sexual Function Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 8 (Sexual function).,,,,,,NMSS_sexual,,
NMSS - Miscellaneous Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score of Domain 9 (Miscellaneous).,,,,,,NMSS_misc,,
NMSS - Sleep Score,,Non-Motor Symptoms Scale for Parkinson's Disease (NMSS) - Total score,,,,,,NMSS_total,,
PDSS - Quality of Night's Sleep,,Parkinson's Disease Sleep Scale - The overall quality of your night’s sleep is:,,,,pdss_q1,,,,
PDSS - Difficulty Falling Asleep,,Parkinson's Disease Sleep Scale - Do you have difficulty falling asleep each night?,,,,pdss_q2,,,,
PDSS - Difficulty Staying Asleep,,Parkinson's Disease Sleep Scale - Do you have difficulty staying asleep?,,,,pdss_q3,,,,
PDSS - Restlessness of Arms and Legs,,Parkinson's Disease Sleep Scale - Does restlessness in your legs or arms at night or in the evening disrupt your sleep?,,,,pdss_q4,,,,
PDSS - Fidget in Bed,,Parkinson's Disease Sleep Scale - Do you fidget in bed?,,,,pdss_q5,,,,
PDSS - Suffer From Distressing Dreams,,Parkinson's Disease Sleep Scale - Do you suffer from distressing dreams at night?,,,,pdss_q6,,,,
PDSS - Suffer From Distressing Hallucinations,,Parkinson's Disease Sleep Scale - Do you suffer from distressing hallucinations at night (seeing or hearing things that you are told do not exist)?,,,,pdss_q7,,,,
PDSS - Get Up at Night to Pass Urine,,Parkinson's Disease Sleep Scale - Do you get up at night to pass urine?,,,,pdss_q8,,,,
PDSS - Incontinence of Urine,,Parkinson's Disease Sleep Scale - Do you have incontinence of urine because you are unable to move due to “off” symptoms?,,,,pdss_q9,,,,
PDSS - Numbness and Tingling in Arms,,"Parkinson's Disease Sleep Scale - Do you experience numbness or tingling in your arms or legs, which wakes you from sleep at night?",,,,pdss_q10,,,,
